       1  2.6975    0.83 -1.2218    4.43   95.57   11.88   1.563   12.19   1.379   74.44   21.08
       1  2.6415    0.59 -1.6989    7.19   92.81   10.31   1.410   10.85   1.361   85.80    7.00
       1  2.6457    0.67 -1.6989    2.17   97.83   12.51   1.690   12.92   1.759   93.71    4.13
       1  2.6342    0.50 -1.6989    6.34   93.66   10.76   1.327   11.40   1.361   95.55    2.17
       1  2.6236    1.10 -1.2218    2.24   97.76    8.62   1.560    8.92   1.427   77.38   20.41
       2  2.7278    1.10 -1.6989    8.85   91.16    9.85   0.848   10.25   0.815    1.22   89.93
       2  2.7480    2.80 -1.2218    7.72   92.28    9.60   1.045    9.85   1.052    2.02   90.26
       2  2.6678    4.60 -1.7213    8.18   91.82    8.75   0.999    9.10   0.879    1.56   75.38
       2  2.6949    3.50 -1.5228    5.41   94.59    9.93   0.910   10.24   0.848    1.27   93.28
       2  2.7020    8.60 -1.3010   19.25   80.75   10.00   0.850   10.54   0.774    1.43   79.32
       2  2.7360    0.81 -1.6989   15.60   84.40   11.41   0.826   11.76   0.840    1.52   82.84
       2  2.7420    1.40 -2.0000   16.78   83.22   11.49   0.618   11.87   0.619    1.62   81.62
       2  2.6832    2.70 -1.6989   26.29   73.71   10.79   0.747   11.13   0.688    2.36   71.35
       3  2.7504    1.20 -1.5229    4.63   95.37   10.43   0.888   10.80   0.962    7.21   88.16
       3  2.7194    0.91 -1.6989   23.55   76.45   11.56   0.681   11.92   0.675    1.99   74.46
       3  2.6247    1.40 -1.3979    2.56   97.44   10.50   0.878   10.82   0.806   89.73    7.71
       3  2.7223    3.00 -1.3010   10.54   89.46   10.74   0.942   11.08   0.711   92.19    7.27
       3  2.6185    1.30 -1.5228    7.06   92.94   11.41   0.784   11.83   0.830   89.56    3.37
       3  2.6395    0.18 -2.0458    3.10   96.90   12.12   0.804   12.61   0.918   91.76    5.18
       3  2.6252    5.40 -1.6989   18.83   81.17   11.59   0.904   11.96   0.805    5.09   76.07
       3  2.6531    0.30 -2.3010   12.65   87.35   11.51   0.849   11.85   0.749   54.47   32.87
       3  2.6204    0.56 -1.6989    5.88   94.12   11.32   0.861   11.72   0.811   91.32    2.80
       4  2.7691    0.93 -2.0000    2.92   97.08   10.57   0.640   10.97   0.587    1.42   95.65
       4  2.7899    0.23 -1.6989    2.11   97.89   11.55   0.759   11.80   0.741    4.82   93.05
       4  2.7602    1.50 -1.6989    3.87   96.13   10.35   1.367   10.66   1.211    1.92   94.20
